Date,Open_Price,Close_Price,High_Price,Low_Price,Volume,Daily_Return_Pct,Volatility_Range,SMA_50,RSI_14,MACD_Value,Bollinger_Bands_Upper
1902-09-08,100.0,100.5,100.63,99.35,2334489,0.0,1.28,96.5884,50.0,0.0,101.8907
1902-09-09,100.5,102.02,102.3,99.49,10626850,1.5124,2.81,96.5884,50.0,0.1213,101.8907
1902-09-10,102.02,101.55,102.56,101.09,9884633,-0.4607,1.47,96.5884,50.0,0.1774,101.8907
1902-09-11,101.55,101.08,104.16,100.13,9405648,-0.4628,4.03,96.5884,50.0,0.1818,101.8907
1902-09-12,101.08,98.65,101.69,98.39,5247581,-2.404,3.3,96.5884,50.0,-0.0106,101.8907
1902-09-15,98.65,98.48,98.71,97.06,2528388,-0.1723,1.65,96.5884,50.0,-0.1748,101.8907
1902-09-16,98.48,97.33,98.86,96.73,19622899,-1.1677,2.13,96.5884,50.0,-0.3932,101.8907
1902-09-17,97.33,97.04,98.11,95.94,2769995,-0.298,2.17,96.5884,50.0,-0.5829,101.8907
1902-09-18,97.04,96.51,97.04,96.28,14191261,-0.5462,0.76,96.5884,50.0,-0.7673,101.8907
1902-09-19,96.51,96.89,99.67,95.31,371836,0.3937,4.36,96.5884,50.0,-0.8726,101.8907
1902-09-22,96.89,97.63,97.8,96.78,2804238,0.7638,1.02,96.5884,50.0,-0.8862,101.8907
1902-09-23,97.63,97.33,98.09,96.27,15706139,-0.3073,1.82,96.5884,50.0,-0.9106,101.8907
1902-09-24,97.33,96.38,98.38,94.5,19108135,-0.9761,3.88,96.5884,50.0,-0.9952,101.8907
1902-09-25,96.38,95.01,97.41,94.08,18987034,-1.4215,3.33,96.5884,50.0,-1.1594,101.8907
1902-09-26,95.01,94.8,95.64,93.3,4645583,-0.221,2.34,96.5884,23.56,-1.2916,101.8907
1902-09-29,94.8,95.9,97.37,93.68,8088004,1.1603,3.69,96.5884,31.37,-1.2927,101.8907
1902-09-30,95.9,96.72,98.07,95.83,10436868,0.8551,2.24,96.5884,36.58,-1.2134,101.8907
1902-10-01,96.72,97.72,98.65,95.93,7006726,1.0339,2.72,96.5884,42.32,-1.0577,101.8907
1902-10-02,97.72,97.57,98.69,97.42,8071379,-0.1535,1.27,96.5884,41.71,-0.9356,101.8907
1902-10-03,97.57,97.46,99.36,96.88,12361606,-0.1127,2.48,96.5884,41.24,-0.838,101.8907
1902-10-06,97.46,98.93,99.45,96.65,143585,1.5083,2.8,96.5884,49.43,-0.6348,101.6523
1902-10-07,98.93,98.43,100.4,97.54,16986772,-0.5054,2.86,96.5884,47.03,-0.5082,100.9397
1902-10-08,98.43,98.69,99.0,97.06,2584413,0.2641,1.94,96.5884,48.43,-0.3825,100.2902
1902-10-09,98.69,98.87,99.12,98.32,2335000,0.1824,0.8,96.5884,49.43,-0.2653,99.7197
1902-10-10,98.87,99.16,99.42,98.86,14481704,0.2933,0.56,96.5884,51.08,-0.1473,99.8146
1902-10-13,99.16,98.93,101.11,98.77,16366473,-0.2319,2.34,96.5884,49.7,-0.0716,99.8884
1902-10-14,98.93,99.38,99.55,98.71,18373392,0.4549,0.84,96.5884,52.41,0.0245,100.1466
1902-10-15,99.38,97.36,99.4,97.33,7754909,-2.0326,2.07,96.5884,41.58,-0.0616,100.1557
1902-10-16,97.36,98.44,99.45,96.92,5774719,1.1093,2.53,96.5884,47.79,-0.0423,100.2435
1902-10-17,98.44,98.36,98.64,98.06,18438945,-0.0813,0.58,96.5884,47.39,-0.033,100.318
1902-10-20,98.36,95.86,99.84,93.7,11818070,-2.5417,6.14,96.5884,36.94,-0.2248,100.3477
